taxonomy_id	name	rank
4827	Mucorales	ORDER
1980418	Phenuiviridae	FAMILY
5807	Cryptosporidium parvum	SPECIES
38574	Leishmania donovani species complex	SPECIES_GROUP
11018	Togaviridae	FAMILY
5763	Naegleria fowleri	SPECIES
1980413	Hantaviridae	FAMILY
5833	Plasmodium falciparum	SPECIES
11617	Arenaviridae	FAMILY
5207	Cryptococcus neoformans	SPECIES
11320	Influenza A virus	
10244	Monkeypox virus	
5037	Histoplasma capsulatum	SPECIES
3418604	Betacoronavirus pandemicum	SPECIES
199306	Coccidioides posadasii	SPECIES
5052	Aspergillus	GENUS
1980416	Peribunyaviridae	FAMILY
11158	Paramyxoviridae	FAMILY
11266	Filoviridae	FAMILY
11050	Flaviviridae	FAMILY
12058	Picornaviridae	FAMILY
1980415	Nairoviridae	FAMILY
498019	Candidozyma auris	SPECIES
1773	Mycobacterium tuberculosis	SPECIES
